SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,Males,Females
ESSEX AGR TECH - ESSEX AGR & TECH INST,09130705,1.9,0.2,5.9,91.5,0.5,34.9,65.1
EVERETT - ADAMS ECC,00930003,5.1,3.4,5.8,85.7,0.0,47.6,52.4
EVERETT - ALBERT PARLIN JR HIGH,00930405,8.1,3.5,6.8,81.6,0.0,49.1,50.9
EVERETT - ALBERT W LEWIS,00930040,5.7,5.7,5.1,83.4,0.0,51.6,48.4
EVERETT - CENTRE,00930010,7.4,4.7,20.3,67.4,0.2,49.5,50.5
EVERETT - DEVENS,00930011,8.4,3.5,9.4,78.7,0.0,49.3,50.7
EVERETT - EDWARD EVERETT HALE,00930020,6.7,4.1,8.6,80.5,0.0,58.4,41.6
EVERETT - EVERETT HIGH,00930505,7.9,3.7,9.7,78.6,0.1,51.3,48.7
EVERETT - GEORGE G HAMILTON,00930025,12.3,9.1,13.5,64.6,0.5,51.9,48.1
EVERETT - LAFAYETTE,00930035,6.3,2.3,5.8,85.6,0.0,49.7,50.3
EVERETT - WEBSTER,00930060,7.1,5.1,6.5,81.3,0.0,51.0,49.0
FAIRHAVEN - EAST FAIRHAVEN,00940010,1.5,0.0,0.7,97.8,0.0,50.7,49.3
FAIRHAVEN - FAIRHAVEN HIGH,00940505,2.0,1.1,1.1,95.5,0.2,49.5,50.5
FAIRHAVEN - HASTINGS MIDDLE,00940305,1.2,0.7,1.9,95.7,0.5,49.1,50.9
FAIRHAVEN - LEROY WOOD,00940030,1.9,0.7,1.5,95.9,0.0,51.5,48.5
FAIRHAVEN - OXFORD,00940015,2.4,0.0,0.0,97.2,0.4,57.0,43.0
FAIRHAVEN - ROGERS,00940020,4.6,0.7,0.7,93.7,0.3,53.0,47.0
FALL RIVER - A S LETOURNEAU,00950085,4.6,1.1,0.4,92.2,1.8,48.8,51.2
FALL RIVER - B M C DURFEE HIGH,00950505,3.7,5.7,3.2,87.0,0.5,46.4,53.6
FALL RIVER - BRAYTON AVENUE,00950015,3.8,6.6,7.1,81.9,0.5,47.3,52.7
FALL RIVER - CHARLES V CARROLL,00950020,3.1,2.0,2.7,91.5,0.7,52.2,47.8
