SCHOOL,ORG CODE,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females
Haverhill - Dr Paul Nettle,01280050,5.0,2.1,34.2,57.8,0.2,0.0,0.6,51.1,48.9
Haverhill - Golden Hill,01280026,4.9,2.3,28.9,62.4,0.4,0.2,0.8,50.6,49.4
Haverhill - Greenleaf,01280027,4.3,1.7,6.0,86.3,0.4,0.9,0.4,56.0,44.0
Haverhill - Haverhill Alternative School,01280033,8.2,0.0,22.4,69.4,0.0,0.0,0.0,87.8,12.2
Haverhill - Haverhill High,01280505,4.8,1.8,25.1,67.5,0.2,0.0,0.6,53.3,46.7
Haverhill - John G Whittier,01280085,3.8,2.0,21.0,71.7,0.2,0.0,1.2,56.9,43.1
Haverhill - Moody,01280045,7.7,4.9,24.7,59.9,0.0,0.0,2.7,58.8,41.2
Haverhill - Pentucket Lake Elementary,01280054,4.0,2.2,25.4,67.6,0.0,0.6,0.2,56.6,43.4
Haverhill - TEACH,01280073,4.5,2.3,27.3,65.9,0.0,0.0,0.0,77.3,22.7
Haverhill - Tilton,01280075,4.0,1.0,37.5,56.4,0.0,0.4,0.8,55.2,44.8
Haverhill - Walnut Square,01280080,0.7,1.4,7.9,87.8,0.0,0.7,1.4,46.0,54.0
Hawlemont - Hawlemont Regional,06850005,0.0,1.0,8.3,89.6,0.0,0.0,1.0,50.0,50.0
Hill View Montessori Charter Public (District) - Hill View Montessori Charter Public School,04550050,5.0,1.3,14.9,75.8,0.0,0.0,3.0,40.1,59.9
Hilltown Cooperative Charter  Public (District) - Hilltown Cooperative Charter Public School,04500105,1.7,0.6,3.5,87.8,0.6,0.0,5.8,50.0,50.0
Hingham - East Elementary School,01310005,1.0,1.9,1.4,92.8,0.2,0.0,2.7,51.4,48.6
Hingham - Hingham High,01310505,1.7,1.4,1.7,92.9,0.0,0.0,2.3,51.3,48.7
Hingham - Hingham Middle School,01310410,1.0,1.3,2.0,93.0,0.0,0.1,2.6,50.5,49.5
Hingham - Plymouth River,01310019,1.3,1.3,3.2,92.1,0.0,0.0,2.1,52.1,47.9
Hingham - South Elementary,01310020,1.3,1.5,2.5,92.8,0.0,0.0,1.9,53.2,46.8
Hingham - Wm L Foster Elementary,01310010,1.3,2.1,1.9,90.6,0.0,0.0,4.2,51.0,49.0
Holbrook - Holbrook Jr Sr High,01330505,20.1,4.8,5.0,65.6,0.2,0.2,4.1,49.2,50.8
Holbrook - John F Kennedy,01330018,13.7,3.1,8.0,66.5,0.0,0.0,8.6,50.3,49.7
Holbrook - South,01330025,15.7,3.9,6.9,69.2,0.0,0.0,4.3,52.8,47.2
Holland - Holland Elementary,01350005,1.7,1.3,3.0,93.5,0.4,0.0,0.0,51.3,48.7
Holliston - Holliston High,01360505,1.8,3.0,1.7,91.7,0.0,0.0,1.7,49.0,51.0
Holliston - Miller School,01360007,0.4,4.5,2.4,90.5,0.1,0.0,2.1,49.5,50.5
Holliston - Placentino Elementary,01360010,0.6,2.2,4.8,89.1,0.0,0.0,3.3,50.8,49.2
Holliston - Robert H. Adams Middle School,01360305,0.9,2.7,2.3,91.5,0.0,0.0,2.6,50.7,49.3
Holyoke - Center for Excellence,01370525,2.9,1.5,87.5,7.4,0.0,0.0,0.7,77.9,22.1
Holyoke - E N White Elementary,01370045,1.7,1.1,77.5,18.6,0.0,0.0,1.1,49.7,50.3
Holyoke - Holyoke High,01370505,3.3,0.9,68.9,26.4,0.0,0.0,0.5,50.1,49.9
Holyoke - Joseph Metcalf Preschool,01370003,1.6,1.0,65.8,29.0,0.0,0.0,2.6,60.6,39.4
Holyoke - Kelly Elementary,01370040,1.1,0.7,96.5,1.6,0.0,0.0,0.2,53.1,46.9
Holyoke - Lt Clayre Sullivan Elementary,01370055,2.8,0.5,72.4,22.8,0.0,0.0,1.4,54.4,45.6
Holyoke - Lt Elmer J McMahon Elementary,01370015,0.8,2.4,55.1,41.2,0.3,0.0,0.3,52.8,47.2
Holyoke - Maurice A Donahue Elementary,01370060,5.5,1.3,76.9,16.2,0.0,0.0,0.2,54.0,46.0
Holyoke - Morgan Elementary,01370025,5.3,0.3,89.1,5.1,0.0,0.0,0.3,50.1,49.9
Holyoke - William R. Peck School,01370030,3.8,0.8,88.6,6.8,0.0,0.0,0.2,53.0,47.0
Holyoke - Wm J Dean Vocational Technical High,01370605,1.5,0.2,91.3,6.8,0.0,0.2,0.0,52.2,47.8
Holyoke Community Charter (District) - Holyoke Community Charter School,04530005,1.9,0.6,87.9,7.7,0.0,0.0,2.0,45.7,54.3
Hopedale - Hopedale Jr Sr High,01380505,0.9,2.1,2.1,94.0,0.0,0.0,0.9,50.6,49.4
Hopedale - Memorial,01380010,0.3,2.6,4.2,90.7,0.5,0.0,1.8,50.9,49.1
Hopedale - Park Street School,01380003,0.0,0.0,4.0,95.0,0.0,0.0,1.0,56.0,44.0
Hopkinton - Center,01390005,1.0,6.8,2.0,86.0,0.3,0.0,4.0,52.0,48.0
Hopkinton - Elmwood,01390010,0.4,8.5,1.6,86.5,0.4,0.0,2.6,49.0,51.0
Hopkinton - Hopkins Elementary School,01390015,0.7,7.3,0.7,89.7,0.4,0.0,1.2,49.6,50.4
Hopkinton - Hopkinton High,01390505,0.9,3.1,1.5,93.5,0.1,0.0,0.9,48.5,51.5
Hopkinton - Hopkinton Middle School,01390305,0.1,6.1,1.8,90.3,0.4,0.0,1.3,49.4,50.6
